image,psnr,ssim
img_003_SRF_2_HR,25.400365436093203,0.8385594522455236
img_011_SRF_4_HR,21.008521961222712,0.8216419005923129
img_012_SRF_4_HR,24.496932111875505,0.843917236598393
img_013_SRF_2_HR,28.15538460733724,0.9096760281017614
img_021_SRF_2_HR,29.86379746580253,0.8801285435762959
img_022_SRF_4_HR,26.4479554968733,0.8551252391302613
img_029_SRF_2_HR,25.977069301193012,0.8598832963820892
img_041_SRF_4_HR,25.49006404935714,0.8898096336401606
img_045_SRF_2_HR,23.454002800831518,0.8293866890791682
img_059_SRF_4_HR,21.84576223248387,0.8256090492168451
img_063_SRF_2_HR,19.975801960014458,0.7868326718706371
img_063_SRF_4_HR,22.22742974760748,0.6890617968660832
img_071_SRF_2_HR,28.927925925517222,0.8230303852705732
img_075_SRF_4_HR,29.966472864588063,0.8904532586581032
img_078_SRF_2_HR,28.067317805529992,0.852031117203755
img_080_SRF_2_HR,35.0054166276113,0.9596729226573665
img_081_SRF_2_HR,31.176464291542683,0.9532633727121121
img_081_SRF_4_HR,34.0163993412954,0.9553910521951177
img_097_SRF_2_HR,25.95125536004702,0.884745047690437
img_099_SRF_4_HR,25.12385018709294,0.8399620156703576
